no,name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,nonPermanentBuilding,doorWindow,buildingCode,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,competent,evacuationSimulation,preparednessTools,facingDisasterProg,handlingSkill,dataRoutine,disasterResponseSOP,specialBudget,raiseFunds,emergencyResponse,interactionGuide,provideTraining,economicDev,churchEducation,riskReduction,disasterOccurs,trainingNeeds,increaseCapacity,evacuationGuidePerson,lastUpdate,disasterContactPerson,Gempa,Banjir,Kekeringan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik
45,GKJ Kotagede,Jl. Depokan 184 Kotagede Yogyakarta 55172,Daerah Istimewa Yogyakarta,-7.816828693,110.396844,1359,Banjir,wabah Covid-19,Gempa bumi,"Punya, tetapi tidak aktif/tidak berfungsi",Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, belum teruji",bangunan tahan gempa stelah gempa 2006,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas",SAR,Tidak,"Peluit, Lampu senter, Rompi, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Genset",Tidak,Ya,"Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",covid-19,Ya,Alokasi anggaran khusus bencana (diambilkan dari persembahan bulan khusus bencana),Tidak,Ya,"FKUB (Forum Kerukunan Umat Beragama), LSM/NGO",terencana belum terlaksana,Tidak,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Punya, aktif dan selalu meningkatkan kapasitas",Jumat 17 September 2021,Tahu tetapi tidak bisa mengakses,Yellow,Green,Yellow,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
46,GKJ Wonocatur,Jl. Cendrawasih No 486 Wonocatur Banguntapan Bantul,D I Yogyakarta,-7.800505133,110.4134838,533,Gempa Bumi,Wabah Penyakit,"Hampir tidak ada sebenarnya, hanya pernah tertangkap densus di kampung sekitar gereja",Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, PMI, Kelompok masyarakat peduli bencana",Tidak,"Peluit, Kotak P3K, Alat pengeras suara, Genset",ada rencana kedepannya,Tidak,Pendataan penyintas COVID-19,,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Ya,dari gereja lain,Tidak,Ya,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Punya, aktif dan selalu meningkatkan kapasitas",Jumat 17 September 2021,Tahu dan bisa mengakses,Orange,Red,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
47,GKJ Brayat Kinasih,"Jl. Timoho II/399, Miliran, Muja Muju, Yogyakarta",DIY,-7.796726384,110.3894559,644,Alam,Non Alam,Sosial,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Tidak ada,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui",Tidak punya,Punya,"Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, LSM/NGO Kebencanaan, PMI","Ya, > 2 tahun","Lampu senter, Rompi, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Genset",Ya,Ya,"Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",Pandemi Covid-19,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Tidak,"PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Merupakan program. Gereja bidang kesaksian dan pelayanan,Ya,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Interaksi dan konflik sosial, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Interaksi dan konflik sosial, Epidemi dan wabah penyakit",Punya,"Selasa, 21 September 2021",Tahu dan bisa mengakses,Green,Green,Yellow,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
48,GKJ Madukismo,"Komplek Timur PG Madukismo, Jogonalan Lor, Tirtonirmolo, Kec. Kasihan, Bantul, Daerah Istimewa Yogyakarta 55181",DIY,-7.830935828,110.3475012,511,Konflik sosial,Pandemi covid 19,Angin kencang/topan,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Tidak ada,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI, Kelompok masyarakat peduli bencana",10 tahun yg lalu pasca gempa bumi ,"Peluit, Lampu senter, Kotak P3K, Alat pengeras suara",Tidak,Tidak,"Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",,"Ya, tetapi minim",Insidental (penggalangan dana/persembahan bencana),Ya,Tidak,"BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Ya,Tidak,Tidak,Tidak siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak punya,22 September 2021,Tahu dan bisa mengakses,Yellow,Green,Green,Green,Orange,Green,Green,Green,Green,Orange,Green,Orange,Orange
49,Gereja Kristen Jawa Bambu Tegalrejo,Demakan Baru TR III Nomor 779 Tegalrejo Yogyakarta,Daerah Istimewa Yogyakarta,-7.790591554,110.352833,246,gunung meletus,Gempa Bumi,konflik sosial antar kelompok,Tidak punya,Tidak punya,Tidak punya,Tidak,Ya,Ya,gedug gereja terbuat dari konstruksi bambu,Tidak punya,Tidak,Tidak ada,belum pernah terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, Kelompok masyarakat peduli bencana",Tidak,"Lampu senter, Lampu darurat, Safety Box berisi dokumen penting",Tidak,Tidak,"Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",,Tidak,Alokasi anggaran khusus bencana (diambilkan dari persembahan bulan khusus bencana),Tidak,Tidak,dilaksanakan secara klasikal,Ya,Tidak,Ya,Tidak siap,"Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak punya,"minggu, 26 September 2021",Tidak tahu dan tidak bisa mengakses,Orange,Green,Green,Green,Green,Green,Green,Red,Green,Orange,Green,Orange,Orange
50,GKJ Sidomulyo,Jln Parangtritis km 21 Tegal Kuwon Sidomulyo Bambanglipuro Bantul 55764,Daerah Istimewa Yogyakarta,-7.965791126,110.3204284,489,Gempa bumi,Banjir,Angin topan/kencang,"Punya, tetapi tidak aktif/tidak berfungsi",Punya dan berfungsi,Tidak punya,Ya,,Ya,"Pasca Gempa, bekerjasama dgn Unica Semarang telah merancang bangunan sedemikian rupa shg meminimalisir akibat gpa",Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji","Pasca gempa 2006, Gereja sdh tahan gempa",Terdampak dan berpotensi membahayakan pengguna/jemaat,Tidak,Tidak punya,Tidak punya,Tidak punya,Punya dan aktif hanya pada saat terjadi kebencanaan saja,"BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI, Universitas/lembaga pendidikan","Ya, pasca gempa sering dilaks mitigasi bencana bagi gereja2","Lampu senter, Kotak P3K, Peralatan balut bidai, Alat pengeras suara",Ya,Ya,"Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Tidak,LSM/NGO,Ya,Ya,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Tidak punya,"Selasa, 28 September 2021",Tahu tetapi tidak bisa mengakses,Red,Orange,Green,Green,Yellow,Green,Green,Green,Green,Orange,Green,Orange,Orange
51,GKJ NGULAKAN,"Sindon, Hargorejo Kokap Kulon Progo ",Daerah Istimewa Yogyakarta,-7.869178119,110.1235753,390,Tanah longsor,Epidemi,Kebebasan beribadah,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Retak ringan,Tidak terdampak,Tidak,Tidak punya,Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI, Kelompok masyarakat peduli bencana","Ya, 1-2 tahun",Kotak P3K,Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak)",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Ya,"BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Ya,Tidak,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Punya, aktif dan selalu meningkatkan kapasitas","Jumat, 1 Oktober 2021",Tahu dan bisa mengakses,Green,Green,Green,Green,Orange,Green,Green,Green,Red,Orange,Green,Orange,Orange
52,GKJ Sumberagung,"Sawo, Sumberagung, Jetis, Bantul",DIY,-7.910173906,110.3694463,322,gempa bumi,covid 19,banjir,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak berfungsi",Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),Tidak,Tidak ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan",Kelompok masyarakat peduli bencana,Tidak,Lampu senter,Belum punya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak)",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,belum punya,LSM/NGO,Tidak,Ya,Ya,Siap,Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD),Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD),Tidak punya,"Rabu, 06 Oktober 2021",Tahu tetapi tidak bisa mengakses,Red,Yellow,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
53,GKJ Patalan,"Jl. Parangtritis KM 15 Patalan, Jetis, Bantul",D I Yogyakarta,-7.928344646,110.3505416,354,"Banjir, gempa bumi, gunung meletus, tanah longsor",Konflik sosial,Covid-19,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Terdampak dan berpotensi membahayakan pengguna/jemaat,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI, Kelompok masyarakat peduli bencana","Ya, 1-2 tahun","Lampu senter, Kotak P3K, Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak)","Bencana banjir, gempa, Covid-19",Ya,Insidental (penggalangan dana/persembahan bencana),Ya,Ya,"BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Ya,Ya,Ya,Sangat siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Punya, aktif dan selalu meningkatkan kapasitas",29 September 2021,Tahu dan bisa mengakses,Red,Red,Green,Green,Green,Green,Green,Red,Red,Orange,Green,Orange,Orange
54,GKJ Jodhog,"Noyopaten, Gilangharjo, Pandak, Bantul",DIY,-7.910668727,110.3101045,240,Gempa Bumi,Konflik antar masyarakat,Kebebasan beribadah,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Tidak ada,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan","BPBD/BNPB, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana","Ya, > 2 tahun", Tidak punya,Tidak,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Tidak,Belum pernah,Ya,Ya,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Pelatihan pengelolaan dana dan bantuan","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Pelatihan pengelolaan dana dan bantuan",Tidak punya,11/10/2021,Tahu tetapi tidak bisa mengakses,Red,Orange,Green,Green,Yellow,Green,Green,Green,Green,Orange,Green,Orange,Orange
55,GKJ PUNDONG,"Piring, Srihardono, Pundong, Bantul",DI YOGYAKARTA,-7.95768202,110.3436691,385,Banjir,Angin Puting Beliung,Gempa,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Tidak,Tidak,Ya,Ya,Tidak punya,"Ya, sudah teruji",,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,BPBD/BNPB,Tidak,Belum punya,Belum,Tidak,Sensus data warga,,Belum,Insidental (penggalangan dana/persembahan bencana),Tidak,Belum,LSM/NGO,Belum,Ya,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana",Tidak punya,"Senin, 11 Okttober 2021",Tidak tahu dan tidak bisa mengakses,Yellow,Green,Green,Green,Yellow,Green,Green,Green,Green,Orange,Green,Orange,Orange
56,GKJ Canden,Sraten Canden Jetis Bantul,Daerah Istimewa Yogyakarta,-7.926454307,110.3627181,280,Gempa bumi,Banjir,Konflik sosial perbedaan agama ,"Punya, tetapi tidak aktif/tidak berfungsi",Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Tidak ada,Tidak terdampak,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui",Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan",BPBD/BNPB,Tidak,"Kotak P3K, Genset",Ya,Tidak,Tidak ada,,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,FKUB (Forum Kerukunan Umat Beragama),Tidak,Tidak,Ya,Tidak siap,"Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Epidemi dan wabah penyakit","Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Epidemi dan wabah penyakit",Tidak punya,"Senin, 11 Oktober 2021",Tidak tahu dan tidak bisa mengakses,Orange,Green,Yellow,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
57,GKJ Suryodiningratan,"Jl. Suryodiningratan no. 43, Yogyakarta",D.I. Yogyakarta,-7.817814139,110.3584176,301,Bencana sosial,Bencana alam,Bencana non-alam,"Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, tetapi tidak tahu apa yang dilakukan","Punya, tetapi dengan pengetahuan dan kemampuan yang terbatas","BPBD/BNPB, Babinkamtibmas",Tidak,Kotak P3K,Tidak,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",Pandemi Covid-19,Masuk dalam anggaran sosial gereja,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Tidak,TNI/POLRI,Tidak,Ya,Tidak,Sedikit siap,"Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Disabilitas dan inklusi, Pelatihan pengelolaan dana dan bantuan","Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Disabilitas dan inklusi, Pelatihan pengelolaan dana dan bantuan","Punya, tetapi tidak tahu apa yang dilakukan","Senin, 11 Oktober 2021","Tahu, namun tidak pernah mengakses",Green,Green,Yellow,Green,Red,Green,Green,Green,Green,Orange,Green,Orange,Orange
58,Gereja Baptis Indonesia Ngadinegaran,Jl. DI Panjaitan 29 Yogyakarta,Daerah istimewa Yogyakarta,-7.816440452,110.3625765,215,Angin topan,Covid 19,Berantam antar pemuda,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Punya dan berfungsi,Ya,,Tidak,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Punya tp blm pernah terjadi,"Punya, aktif dan selalu meningkatkan kapasitas","SAR, PMI, Kelompok masyarakat peduli bencana","Ya, 1-2 tahun","Lampu senter, Lampu darurat, Kotak P3K, Peralatan balut bidai, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Ya,Ya,"Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",Langkah-langkah penanganan,Ya,Insidental (penggalangan dana/persembahan bencana),Ya,Ya,"TNI/POLRI, LSM/NGO",Ya,Tidak,Ya,Sedikit siap,"Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Terorisme","Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Terorisme",Punya tp blm pernah terjadi,Rabu 15 September 2021,Belum di share ke jemaat,Orange,Green,Green,Green,Red,Green,Green,Green,Green,Orange,Green,Orange,Orange
59,GBI Sleman,Dukuh RT 01/RW 17 Tridadi Sleman,DIY,-7.539252655,110.3522655,91,Pandemi covid,Kebakaran,Pom bensin meledak,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, belum teruji",,Tidak terdampak,Ya,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI, Kepolisian",Hanya mengikuti jika ada pelatihan kebencanaan,"Lampu senter, Lampu darurat, Alat pemadam kebakaran",Hanya insidental,Ya,"Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Hanya berdasarkan naluri dan pengalaman,Tidak,Insidental (penggalangan dana/persembahan bencana),Ya,Tidak,"BNPB/BPBD, FKUB (Forum Kerukunan Umat Beragama), LSM/NGO",Ya,Ya,Ya,Sedikit siap,"Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Pelatihan pengelolaan dana dan bantuan","Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Pelatihan pengelolaan dana dan bantuan",Tidak punya,"Rabu, 15 September 2021",Tahu dan bisa mengakses,Green,Green,Orange,Green,Orange,Green,Green,Green,Green,Orange,Green,Orange,Orange
