name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,nonPermanentBuilding,doorWindow,buildingCode,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,competent,evacuationSimulation,preparednessTools,facingDisasterProg,handlingSkill,dataRoutine,disasterResponseSOP,specialBudget,raiseFunds,emergencyResponse,interactionGuide,provideTraining,economicDev,churchEducation,riskReduction,disasterOccurs,trainingNeeds,increaseCapacity,lastUpdate,Gempa,Banjir,Kekeringan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik
Gereja Baptis (KGBI) Galilea Palu,Jl. Zebra Raya No. 60 ,Sulawesi tengah,-0.92731,119.885,90,Gempa bumi,Epidemi dan wabah penyakit (Covid19) ,Terorisme,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Punya dan berfungsi,Ya,Ya,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Tidak ada,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, sudah diperbarui",Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan","Punya, tetapi tidak tahu apa yang dilakukan","BPBD/BNPB, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana",Tidak,Genset,Ya,"Dana insidental kebencanaan , Tenaga/Pelayan Pastoral",Tidak ada,Tidak,Ya,Insidental (penggalangan dana/persembahan bencana),Gempa bumi,Ya,BNPB/BPBD,Tidak ada,Ibadah minggu,Khotbah,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan",Program pelatihan dan simulasi dalam menghadapi bencana, 4 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GKST BETHEL WATUBULA,Jl. Rompi Desa Watubula Kecamatan Sigi Kota Kabupaten Sigi,Sulawesi Tengah,-1.03567,119.9002,108,Gempa bumi,Angin kencang,Konflik sosial,Punya dan berfungsi,"Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Hanya pintu depan,Ya,Pernah mempunyai (tidak dapat diakses lagi),Tidak,Dinding gedung gereja miring,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui",Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan","Punya, tetapi tidak tahu apa yang dilakukan",Kelompok masyarakat peduli bencana,"Ya, 1-2 tahun","Lampu senter, Genset",Ya,"Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Ya,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,LSM/NGO,Bantuan modal,Ibadah minggu,Khotbah,Siap,"Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit","Menetapkan pengurus PRB jemaat
Meningkatkan ekonomi dan kapasitas jemaat dalam mengurangi resiko bencana",28 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gereja Masehi Adven Hari Ketujuh Jemaat Bethel,Jl. Malaya no.45 Birobuli Selatan Kota Palu,Sulawesi Tengah,-0.93107,119.8811,75,Gempa bumi,Covid19,Terorisme,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Tidak,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas",LSM/NGO Kebencanaan,"Ya, > 2 tahun","Alat pengeras suara, Genset",Ya,"Dana insidental kebencanaan , Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Ya,Insidental (penggalangan dana/persembahan bencana),"1. Gempa bumi
2. Covid 19",Ya,"TNI/POLRI, LSM/NGO",,"Ibadah minggu, Sekolah Minggu","Khotbah, Poster, Broadcast message WhatsApp Group",Siap,Simulasi menghadapi bencana,"1. Untuk program-program gereja yang sudah ada lebih ditingkatkan lagi kapasitasnya.
2. Lebih menghimbau kepada jemaat untuk sama-sama menjaga kesehatan bersama",4 Mei 2021,Red,Orange,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gereja Sidang Jemaat Kristus,Jalan Sulawesi No. 8 ,Sulawesi Tengah,-0.90033,119.8713,92,Gempa bumi ,Tsunami,Likuifaksi,Punya dan berfungsi,Tidak punya,Tidak punya,Ya,,Ya,Tidak,Tidak punya,"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,PMI,Tidak,"Rompi, Kotak P3K, Alat pengeras suara, Genset",Tidak,"Dana insidental kebencanaan , Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Gempa bumi, kebakaran, kerusakan berat",Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Tidak,Belum ada,Tidak ada,Tidak ada,Tidak ada,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Simulasi atau sosialisasi video atau poster yang dapat di tempel, di putar saat ibadah dan disebarkan melalui grup sosial media gereja",4 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
BK Korps 1 Palu,Jl.  Patimura no. 2 Palu,Sulawesi tengah,-0.8977,119.8649,315,"Banjir,  gempa bumi",Epidemi penyakit,Terorisme,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,"Pintu atas ya,  pintu bawah digeser",Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Ada Team covid 19,"BPBD/BNPB, LSM/NGO Kebencanaan, PMI","Ya, 1-2 tahun","Alat pemadam kebakaran, Alat pengeras suara, Genset",Tidak,"Dana insidental kebencanaan , Dana kebencanaan rutin , Tenaga kesehatan , Tenaga/Pelayan Pastoral",Tidak ada,Tidak,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Gempa bumi dan covid 19,Tidak,BNPB/BPBD,Tidak ada,"Ibadah minggu, Pendalaman Alkitab, Sekolah Minggu","Khotbah, Poster, Siaran radio, Broadcast message WhatsApp Group",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Epidemi dan wabah penyakit, Terorisme","Simulasi gempa,  kebakaran,  banjir, 
 epidemi penyakit dan terorisme",5 mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GPID Jemaat Bahtera Pantoloan,Jl. Pasar Vinase Tawaeli,Sulawesi Tengah,-0.71079,119.8646,400,Gempa Bumi,Pandemi Covid 19,Terorisme,Tidak punya,Tidak punya,Tidak punya,Ya,,Tidak,Tidak,Pernah mempunyai (tidak dapat diakses lagi),Tidak,Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, LSM/NGO Kebencanaan, PMI",Tidak,"Alat pengeras suara, Genset",Tidak,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,LSM/NGO,Tidak ada,"Ibadah minggu, Sekolah Minggu","Broadcast message WhatsApp Group, Warta Jemaat",Tidak siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Simulasi menghadapi bencana, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Simulasi Bencana, 05 Mei 2021,Yellow,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
GBI Gilgal Palu,Jalan Sulawesi ,Sulawesi Tengah ,-0.89987,119.8695,75,Gempa bumi ,Covid19,Terorisme ,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, sudah diperbarui",Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas",Kelompok masyarakat peduli bencana,"Ya, 1-2 tahun",Kotak P3K,Tidak,Tim penanganan bencana yang terlatih,"Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Ya,Alokasi anggaran khusus bencana (diambilkan dari persembahan bulan khusus bencana),Tidak,Ya,TNI/POLRI,Bantuan usaha,Tidak ada,Broadcast message WhatsApp Group,Siap,"Simulasi menghadapi bencana, Epidemi dan wabah penyakit, Terorisme",Tidak ada , 6 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gereja IFGF,Jalan Patimura No 72,Sulawesi Tengah ,-0.90283,119.8687,60,Gempa bumi,Covid19,Terorisme ,Punya dan berfungsi,Punya dan berfungsi,"Punya, tetapi tidak berfungsi",Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,"Kursi yang tersusun jatuh, tapi tidak membahayakan ",Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, Aparat setempat","Ya, > 2 tahun","Peluit, Kotak P3K, Safety Box berisi dokumen penting, Genset",Ya,"Dana insidental kebencanaan , Dana kebencanaan rutin  , Tim penanganan bencana yang terlatih, Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Gempa bumi ,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Gempa bumi,Ya,"TNI/POLRI, BNPB/BPBD, Dari IFGF luar Palu ",Bantuan usaha,"Ibadah minggu, Sekolah Minggu","Poster, Broadcast message WhatsApp Group, Sosial media ",Siap,"Interaksi dan konflik sosial, Radikalisme ","Workshop, seminar yang dikhususkan untuk anak muda ",6 Mei 2021,Red,Red,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GPdI Shekinah Tondo,Jl. Varuvuri Tondo,Sulawesi Tengah,-0.85043,119.8821,150,Gempa bumi,Terorisme,Covid-19,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Tidak,Ya,Punya dan tersimpan dengan baik (mudah diakses),Gedung yang baru dibangun 1 lantai tapi untuk pondasi dan struktur bangunannya dibangun setara gedung 4 lantai.,,Bagunan Gereja lama rusak total,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui",Tidak punya,Tidak punya,"BPBD/BNPB, SAR","Ya, 1-2 tahun",Genset,Tidak,"Dana insidental kebencanaan , Tenaga/Pelayan Pastoral",Tidak ada,Tidak,Tidak ada tapi jika ada bencana akan diambil dari dana kas yang ada,Insidental (penggalangan dana/persembahan bencana),Gempa bumi & tsunami,Tidak,Belum ada,Tidak ada,Ibadah minggu,Khotbah,Siap,Apa saja program pelatihan yang diberikan aka dilihat dulu apakah sesuai dengan kondisi jemaat,Bencana ini tidak bisa dihindari maka harapannya untuk semua gereja bisa saling peduli terhadap sesama dan juga terhadap lingkungan. ,7 mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GPdi Ekklesia Thamrin,Jl. Thamrin no 74,Sulawesi tengah,-0.896,119.8867,700,Alam,Non alam,Sosial,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),Tidak,Ada struktur tulangan yang lepas,Tidak terdampak,Tidak,"Punya, sudah diperbarui",Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas",Sudah direncanakan akan dibentuk satgas bencana tapi belum terealisasi,BPBD/BNPB,"Ya, 1-2 tahun","Alat pemadam kebakaran, Genset, Tenda darurat",Tidak,Ada dana diakonia,Pendataan jemaat secara umum,Tidak,Memakai dana diakonia,Insidental (penggalangan dana/persembahan bencana),Bencana alam (gempa) & bencana non alam (covid),Ya,Belum ada,Tidak ada,"Ibadah minggu, Sekolah Minggu","Khotbah, Broadcast message WhatsApp Group",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit, Terorisme",Pembentukan satgas bencana di tiap gereja yang tidak berdiri sendiri tapi dinaungi satu pihak (diwadahi) untuk memudahkan kordinasi. Tidak bekerja secara jemaat lokal. , 7 mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gereja Pantekosta Pusat Surabaya (GPPS),Jalan Sulawesi No. 16 Palu 94235 ,Sulawesi Tengah,-0.89986,119.8682,677,Gempa Bumi,Epidemi dan wabah penyakit covid19,Terorisme,Tidak punya,Tidak punya,Tidak punya,Sementara membangun,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),Bangunan Gereja lama Hancur,Bangunan lama rubuh total,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"SAR, PMI",Tidak,"Lampu senter, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Genset",Tidak,Tenaga/Pelayan Pastoral,Pendataan anggota jemaat,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Ya,Belum ada,Motivasi,Ibadah minggu,Khotbah,Siap,Simulasi menghadapi bencana,Simulasi menghadapi bencana kepada jemaat,7 Mei 2021,Red,Red,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gpdi Solagratia kota palu,Jl. Tanggul selatan no 24,Sulawesi tengah,-0.92619,119.9026,106,Gempa bumi,Banjir,Kekeringan,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,"Hanya jendela terbuka keluar, pintu terbuka kedalam",Ya,Punya dan tersimpan dengan baik (mudah diakses),Tidak,"Dinding terbelah, lantai terbelah, atap bergeser",Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, aktif dan selalu meningkatkan kapasitas",Tidak punya,"BPBD/BNPB, SAR, PMI",Tidak,"Lampu senter, Lampu darurat, Kotak P3K, Alat pengeras suara, Genset",Ya,"Dana insidental kebencanaan, Tenaga/Pelayan Pastoral","Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak)",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Tidak ada,Tidak ada,"Ibadah minggu, Sekolah Minggu","Khotbah, Video, Broadcast message WhatsApp Group",Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak ada,25 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
